第2-3表　若年人口（15歳未満人口）,,,,,,,,,,
"Table 2-3: Youth population, 0-14 years old",,,,,,,,,,
,,,,,,,,,,
（1）実数/De facto population aged 0-14,,,,,,,,,,（万人/ten thousands）
,,,,1980年,2000,2010,2015,2020,2030,2050
日本,,,JPN,2731 ,1838 ,1692 ,1627 ,1576 ,1468 ,1335 
アメリカ,,,USA,5213 ,6014 ,6121 ,6098 ,6197 ,6478 ,6788 
カナダ,,,CAN,558 ,588 ,562 ,574 ,610 ,631 ,659 
イギリス,,,GBR,1182 ,1121 ,1110 ,1150 ,1219 ,1225 ,1251 
ドイツ,,,DEU,1455 ,1260 ,1088 ,1040 ,1033 ,1045 ,927 
フランス,,,FRA,1195 ,1116 ,1162 ,1190 ,1182 ,1163 ,1196 
イタリア,,,ITA,1237 ,819 ,835 ,820 ,790 ,739 ,736 
スウェーデン,,,SWE,163 ,164 ,155 ,169 ,182 ,191 ,207 
ロシア,,,RUS,2977 ,2671 ,2132 ,2403 ,2593 ,2397 ,2275 
中国,,,CHN,35394 ,31832 ,23353 ,23712 ,24014 ,20975 ,18214 
香港,,,HKG,128 ,117 ,84 ,87 ,99 ,108 ,98 
韓国,,,KOR,1270 ,968 ,797 ,704 ,687 ,694 ,579 
シンガポール,,,SGP,65 ,84 ,88 ,87 ,86 ,82 ,74 
マレーシア,,,MYS,539 ,780 ,767 ,743 ,741 ,781 ,687 
タイ,,,THA,1869 ,1503 ,1280 ,1204 ,1122 ,953 ,793 
インドネシア,,,IDN,6059 ,6491 ,6979 ,7133 ,7149 ,6943 ,6447 
フィリピン,,,PHL,2043 ,3000 ,3127 ,3217 ,3336 ,3500 ,3515 
インド,,,IND,27363 ,36590 ,38030 ,37743 ,37283 ,36503 ,32635 
ベトナム,,,VNM,2222 ,2542 ,2092 ,2158 ,2249 ,2122 ,1944 
オーストラリア,,,AUS,371 ,398 ,421 ,448 ,493 ,530 ,575 
ニュージーランド,,,NZL,86 ,88 ,90 ,92 ,93 ,93 ,93 
ブラジル,,,BRA,4687 ,5217 ,5041 ,4786 ,4492 ,4186 ,3570 
,,,,,,,,,,
（2）対全人口比率/Proportion aged 0-14 among the total population,,,,,,,,,,（％）
,,,,1980年,2000,2010,2015,2020,2030,2050
日本,,,JPN,23.6 ,14.6 ,13.3 ,12.9 ,12.6 ,12.2 ,12.4 
アメリカ,,,USA,22.7 ,21.3 ,19.8 ,19.0 ,18.6 ,18.2 ,17.5 
カナダ,,,CAN,22.8 ,19.2 ,16.5 ,16.0 ,16.2 ,15.6 ,14.9 
イギリス,,,GBR,21.0 ,19.0 ,17.7 ,17.8 ,18.3 ,17.5 ,16.6 
ドイツ,,,DEU,18.6 ,15.4 ,13.5 ,12.9 ,12.9 ,13.2 ,12.4 
フランス,,,FRA,22.1 ,18.8 ,18.5 ,18.5 ,18.0 ,17.1 ,16.8 
イタリア,,,ITA,22.0 ,14.3 ,14.0 ,13.7 ,13.2 ,12.5 ,13.0 
スウェーデン,,,SWE,19.6 ,18.4 ,16.5 ,17.3 ,18.0 ,17.8 ,17.4 
ロシア,,,RUS,21.6 ,18.2 ,14.9 ,16.8 ,18.1 ,17.3 ,17.7 
中国,,,CHN,36.2 ,25.1 ,17.4 ,17.2 ,17.1 ,14.8 ,13.5 
香港,,,HKG,25.4 ,17.2 ,12.1 ,12.0 ,13.1 ,13.5 ,12.0 
韓国,,,KOR,33.9 ,21.0 ,16.2 ,14.0 ,13.4 ,13.2 ,11.4 
シンガポール,,,SGP,27.1 ,21.5 ,17.3 ,15.5 ,14.3 ,12.7 ,11.0 
マレーシア,,,MYS,39.0 ,33.3 ,27.3 ,24.5 ,22.9 ,21.6 ,16.9 
タイ,,,THA,39.4 ,24.0 ,19.2 ,17.7 ,16.4 ,14.0 ,12.7 
インドネシア,,,IDN,41.1 ,30.7 ,28.9 ,27.7 ,26.3 ,23.5 ,20.0 
フィリピン,,,PHL,43.1 ,38.5 ,33.6 ,31.9 ,30.8 ,28.3 ,23.7 
インド,,,IND,39.2 ,34.7 ,30.9 ,28.8 ,26.8 ,23.9 ,19.1 
ベトナム,,,VNM,40.9 ,31.7 ,23.7 ,23.1 ,22.9 ,20.2 ,17.2 
オーストラリア,,,AUS,25.3 ,20.8 ,19.0 ,18.7 ,19.2 ,18.6 ,17.2 
ニュージーランド,,,NZL,27.2 ,22.7 ,20.5 ,20.2 ,19.7 ,18.1 ,16.7 
ブラジル,,,BRA,38.4 ,29.7 ,25.4 ,23.0 ,20.8 ,18.3 ,15.0 
,,,,,,,,,,
資料出所,,UN（2015.7）World Population Prospects: The 2015 Revision,,,,,,,,
（注）,国連による推計。2020年以降は出生率・死亡率とも中位で推移した場合の予測値。,,,,,,,,,
,,,,,,,,,,
